Gid,Name,ShortName,Designation,LocalNumber,IsJourneyPatternPointGid,IsIncludedInStopAreaGid,TypeCode,ForAlightingYesNo,ForBoardingYesNo,OrientationDegrees,LengthMeters,LastModifiedUtcDateTime,ExistsFromDate,ExistsUptoDate,CoordinateSystemName,CentroidNorthingCoordinate,CentroidEastingCoordinate,lon,lat
9022302000549002,Västanträsk 1,,B,2,9025302000054902,9021302000549000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.333835,19.92543,19.92543,60.333835
9022302000555001,Västergeta,,A,1,9025302000055501,9021302000555000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.376826,19.855486,19.855486,60.376826
9022302000564001,Ytternäs skola,,A,1,9025302000056401,9021302000564000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.0842,19.942017,19.942017,60.0842
9022302000564002,Ytternäs skola,,B,2,9025302000056402,9021302000564000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.0842,19.942017,19.942017,60.0842
9022302000520002,Utängarna,,B,2,9025302000052002,9021302000520000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.121738,19.858248,19.858248,60.121738
9022302000013001,Bartsgårda vsk.,,A,1,9025302000001301,9021302000013000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.279405,19.952022,19.952022,60.279405
9022302000013002,Bartsgårda vsk.,,B,2,9025302000001302,9021302000013000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.279405,19.952022,19.952022,60.279405
9022302000017001,Bergö/Idskärsvägen vsk.,,A,1,9025302000001701,9021302000017000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.03026,19.978267,19.978267,60.03026
9022302000021002,Bjärström,,B,2,9025302000002102,9021302000021000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.212613,19.858683,19.858683,60.212613
9022302000029001,Björkuddsvägen vsk.,,A,1,9025302000002901,9021302000029000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.094459,20.018877,20.018877,60.094459
9022302000031001,Björkängsvägen vsk.,,A,1,9025302000003101,9021302000031000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.214448,19.978258,19.978258,60.214448
9022302000039002,Bolstaholms vsk.,,B,2,9025302000003902,9021302000039000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.37331,19.892995,19.892995,60.37331
9022302000054001,Byttbölevägen vsk.,,A,1,9025302000005401,9021302000054000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.195496,19.820375,19.820375,60.195496
9022302000058001,Böle vsk.,,A,1,9025302000005801,9021302000058000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.225366,19.590528,19.590528,60.225366
9022302000067002,Degersandsvägen vsk.,,B,2,9025302000006702,9021302000067000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.181996,19.595068,19.595068,60.181996
9022302000083002,Eckerö posthus vsk.,,B,2,9025302000008302,9021302000083000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.221607,19.544022,19.544022,60.221607
9022302000567002,Ålandsplan,,B,2,9025302000056702,9021302000567000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.104026,19.937223,19.937223,60.104026
9022302000573002,Ämnäs viken,,B,2,9025302000057302,9021302000573000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.204623,19.959523,19.959523,60.204623
9022302000594001,Östanträsk,,A,1,9025302000059401,9021302000594000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.152439,19.795598,19.795598,60.152439
9022302000602002,Östra skolgatan,,B,2,9025302000060202,9021302000602000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.09967,19.935555,19.935555,60.09967
9022302001002001,Husö,,A,1,9025302000100201,9021302001002000,PIER,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.064691,20.807327,20.807327,60.064691
9022302001011001,Galtby,,A,1,9025302000101101,9021302001011000,PIER,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.18502,21.58509,21.58509,60.18502
9022302001021001,Åva,,A,1,9025302000102101,9021302001021000,PIER,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.503347,21.0579,21.0579,60.503347
9022302000023002,Björkliden,,B,2,9025302000002302,9021302000023000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.22449,19.696851,19.696851,60.22449
9022302000073002,Drygsböle,,B,2,9025302000007302,9021302000073000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.182175,19.783613,19.783613,60.182175
9022302000076002,Eckerö golf,,B,2,9025302000007602,9021302000076000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.217335,19.602075,19.602075,60.217335
9022302000226002,Korsbro,,B,2,9025302000022602,9021302000226000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.205716,19.766728,19.766728,60.205716
9022302000300002,Marby byn,,B,2,9025302000030002,9021302000300000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.204232,19.666081,19.666081,60.204232
9022302000364002,Prästö,,B,2,9025302000036402,9021302000364000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.207006,20.257977,20.257977,60.207006
9022302000370001,Pålsböle Sarlings,,A,1,9025302000037001,9021302000370000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.265439,19.931862,19.931862,60.265439
9022302000390002,Sandösund,,B,2,9025302000039002,9021302000390000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.270889,20.387064,20.387064,60.270889
9022302000394002,Simskäla färjfäste,,B,2,9025302000039402,9021302000394000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.32192,20.372777,20.372777,60.32192
9022302000435002,Storby,,B,2,9025302000043502,9021302000435000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.223221,19.55863,19.55863,60.223221
9022302000441001,Strandnäs hotell,,A,1,9025302000044101,9021302000441000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.11971,19.942498,19.942498,60.11971
9022302000445001,Strandnäs skola södra,,A,1,9025302000044501,9021302000445000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.115481,19.945234,19.945234,60.115481
9022302000266002,Labbnäs,,B,2,9025302000026602,9021302000266000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.329829,19.859448,19.859448,60.329829
9022302000271001,Langnäs vändplan,,A,1,9025302000027101,9021302000271000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.012345,19.986401,19.986401,60.012345
9022302000275001,Lemlands kyrka,,A,1,9025302000027501,9021302000275000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.071692,20.084244,20.084244,60.071692
9022302000287001,Lumpo,,A,1,9025302000028701,9021302000287000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.144091,20.231421,20.231421,60.144091
9022302000289001,Långnäs färjfäste,,A,1,9025302000028901,9021302000289000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.11745,20.296355,20.296355,60.11745
9022302000294002,Lötö,,B,2,9025302000029402,9021302000294000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.31392,20.007403,20.007403,60.31392
9022302000324001,Nabben,,A,1,9025302000032401,9021302000324000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.114974,19.948484,19.948484,60.114974
9022302000328001,Norra Esplanadgatan,,A,1,9025302000032801,9021302000328000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.097322,19.936195,19.936195,60.097322
9022302000330001,Norrängen,,A,1,9025302000033001,9021302000330000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.200598,19.928354,19.928354,60.200598
