from_area,from_name,to_area,to_name,period,trips
9021302000123000,Godbyhallen vsk.,9021302000508000,Torrbolstad,pm,0.8418
9021302000662000,"Centrum, Nygatan",9021302000421000,Solberget södra,pm,0.8416
9021302000125000,Godbyvägen 1285,9021302000427000,Sportkila,pm,0.8394
9021302000308000,"Mariehamn, Bussplan",9021302000185000,Jomala församlingshem,pm,0.8391
9021302000308000,"Mariehamn, Bussplan",9021302000255000,Kvarnbo,pm,0.8363
9021302000608000,Övernäs skola,9021302000332000,Nåtö biologiska,pm,0.8126
9021302000668000,Jomala skola södra,9021302000306000,Mariavägen vsk.,pm,0.8107
9021302000668000,Jomala skola södra,9021302000308000,"Mariehamn, Bussplan",pm,0.8096
9021302000308000,"Mariehamn, Bussplan",9021302000292000,Lönnhagsvägen,pm,0.8052
9021302000662000,"Centrum, Nygatan",9021302000332000,Nåtö biologiska,pm,0.8031
9021302000640000,Doktorsvägen 1B/1C,9021302000662000,"Centrum, Nygatan",pm,0.8009
9021302000308000,"Mariehamn, Bussplan",9021302000251000,Kungsö vsk.,pm,0.7902
9021302000639000,Hindersbölevägen,9021302000662000,"Centrum, Nygatan",pm,0.7855
9021302000659000,Norragatan,9021302000017000,Bergö/Idskärsvägen vsk.,pm,0.7749
9021302000308000,"Mariehamn, Bussplan",9021302000187000,Jomala kyrka,pm,0.7744
9021302000189000,Jomala skola,9021302000251000,Kungsö vsk.,pm,0.7734
9021302000608000,Övernäs skola,9021302000097000,Skrakvägen,pm,0.756
9021302000308000,"Mariehamn, Bussplan",9021302000559000,Västra macken,pm,0.7495
9021302000230000,Kroklund,9021302000117000,Geta centrum,pm,0.7486
9021302000543000,Vikingahallen,9021302000308000,"Mariehamn, Bussplan",pm,0.7435
9021302000608000,Övernäs skola,9021302000133000,Granholm,pm,0.7429
9021302000261000,Källbo skola,9021302000322000,Mörslättsvägen vsk.,pm,0.7357
9021302000125000,Godbyvägen 1285,9021302000121000,Godby högstadium,pm,0.735
9021302000662000,"Centrum, Nygatan",9021302000133000,Granholm,pm,0.7343
9021302000189000,Jomala skola,9021302000129000,Gottby by,pm,0.731
9021302000308000,"Mariehamn, Bussplan",9021302000441000,Strandnäs hotell,pm,0.7278
9021302000523000,Valborg,9021302000535000,Vessingsboda,pm,0.7274
9021302000308000,"Mariehamn, Bussplan",9021302000273000,Lemböte vsk.,pm,0.7188
9021302000189000,Jomala skola,9021302000224000,Kockobacka,pm,0.7122
9021302000608000,Övernäs skola,9021302000564000,Ytternäs skola,pm,0.7084
9021302000324000,Nabben,9021302000590000,Önningeby vsk.,pm,0.7068
9021302000324000,Nabben,9021302000662000,"Centrum, Nygatan",pm,0.694
9021302000662000,"Centrum, Nygatan",9021302000564000,Ytternäs skola,pm,0.693
9021302000123000,Godbyhallen vsk.,9021302000214000,Killingholm,pm,0.6925
9021302000308000,"Mariehamn, Bussplan",9021302000392000,Savoy,pm,0.6789
9021302000123000,Godbyhallen vsk.,9021302000230000,Kroklund,pm,0.6769
9021302000123000,Godbyhallen vsk.,9021302000139000,Grelsby vsk.,pm,0.6747
9021302000125000,Godbyvägen 1285,9021302000123000,Godbyhallen vsk.,pm,0.6669
9021302000123000,Godbyhallen vsk.,9021302000249000,Kungstensvägen vsk.,pm,0.6626
9021302000308000,"Mariehamn, Bussplan",9021302000358000,Posten,pm,0.6583
9021302000633000,Bolstavägen,9021302000662000,"Centrum, Nygatan",pm,0.6575
9021302000125000,Godbyvägen 1285,9021302000308000,"Mariehamn, Bussplan",pm,0.6554
9021302000189000,Jomala skola,9021302000107000,Frebbenby,pm,0.655
9021302000308000,"Mariehamn, Bussplan",9021302000412000,Slottsvägen vsk.,pm,0.6491
9021302000662000,"Centrum, Nygatan",9021302000679000,Polishuset,pm,0.6435
9021302000121000,Godby högstadium,9021302000117000,Geta centrum,pm,0.6417
9021302000123000,Godbyhallen vsk.,9021302000161000,Havsvidden vsk.,pm,0.6395
9021302000191000,Jomalaby,9021302000308000,"Mariehamn, Bussplan",pm,0.636
9021302000230000,Kroklund,9021302000266000,Labbnäs,pm,0.6346
9021302000121000,Godby högstadium,9021302000266000,Labbnäs,pm,0.6343
9021302000261000,Källbo skola,9021302000326000,Nabbenvägen vsk.,pm,0.6327
9021302000368000,Pålsböle daghem,9021302000117000,Geta centrum,pm,0.6285
9021302000662000,"Centrum, Nygatan",9021302000626000,Källstigen,pm,0.6273
9021302000370000,Pålsböle Sarlings,9021302000117000,Geta centrum,pm,0.6265
9021302000370000,Pålsböle Sarlings,9021302000266000,Labbnäs,pm,0.6212
9021302000308000,"Mariehamn, Bussplan",9021302000364000,Prästö,pm,0.6204
9021302000368000,Pålsböle daghem,9021302000266000,Labbnäs,pm,0.6189
9021302000662000,"Centrum, Nygatan",9021302000638000,Uppgårdsvägen 10,pm,0.6155
9021302000308000,"Mariehamn, Bussplan",9021302000508000,Torrbolstad,pm,0.6139
9021302000121000,Godby högstadium,9021302000338000,Nääs,pm,0.6136
9021302000123000,Godbyhallen vsk.,9021302000157000,Haraldsby,pm,0.6049
9021302000308000,"Mariehamn, Bussplan",9021302000129000,Gottby by,pm,0.6002
9021302000121000,Godby högstadium,9021302000095000,Finströms kyrka,pm,0.595
9021302000662000,"Centrum, Nygatan",9021302000445000,Strandnäs skola södra,pm,0.5926
9021302000548000,Vårdö skola,9021302000296000,Lövö,pm,0.583
9021302000261000,Källbo skola,9021302000338000,Nääs,pm,0.5782
9021302000189000,Jomala skola,9021302000360000,Postgärdsvägen vsk.,pm,0.5764
9021302000071000,Doppingvägen,9021302000662000,"Centrum, Nygatan",pm,0.5712
9021302000125000,Godbyvägen 1285,9021302000433000,Stenbro vsk.,pm,0.5683
9021302000121000,Godby högstadium,9021302000512000,Tärnebolstad,pm,0.5683
9021302000261000,Källbo skola,9021302000230000,Kroklund,pm,0.5575
9021302000662000,"Centrum, Nygatan",9021302000616000,Doktorsvägen 1A,pm,0.5545
9021302000121000,Godby högstadium,9021302000447000,Strömma,pm,0.5533
9021302000523000,Valborg,9021302000362000,Prästgården,pm,0.5529
9021302000308000,"Mariehamn, Bussplan",9021302000253000,Kungsövägen vsk.,pm,0.5517
9021302000362000,Prästgården,9021302000557000,Västeränga,pm,0.5508
9021302000659000,Norragatan,9021302000137000,Granö vändplan,pm,0.5496
9021302000261000,Källbo skola,9021302000139000,Grelsby vsk.,pm,0.544
9021302000189000,Jomala skola,9021302000306000,Mariavägen vsk.,pm,0.5367
9021302000668000,Jomala skola södra,9021302000163000,Hellesby,pm,0.5357
9021302000189000,Jomala skola,9021302000577000,Ängösundsvägen vsk.,pm,0.5309
9021302000189000,Jomala skola,9021302000245000,Kummelören,pm,0.5284
9021302000261000,Källbo skola,9021302000447000,Strömma,pm,0.525
9021302000125000,Godbyvägen 1285,9021302000614000,Kulla sund,pm,0.5226
9021302000308000,"Mariehamn, Bussplan",9021302000451000,Strömsnäs,pm,0.5218
